pseudotime,Retina-Sham,Retina-MB,OpticNerve-Sham,OpticNerve-MB
0.7291,0.01073,0.01621,0.0,0.00088
0.73244,0.01078,0.01635,0.0,0.00136
0.73579,0.00991,0.01681,0.0,0.00201
0.73913,0.00834,0.01743,0.0,0.00277
0.74247,0.00645,0.01804,0.0,0.00361
0.74582,0.00467,0.01853,0.0,0.0044
0.74916,0.00331,0.0188,0.0,0.00505
0.75251,0.00254,0.01879,0.0,0.00545
0.75585,0.00236,0.01848,0.0,0.00552
0.7592,0.00265,0.01791,0.0,0.00528
0.76254,0.00317,0.01712,1e-05,0.00478
0.76589,0.00366,0.01621,2e-05,0.00417
0.76923,0.00393,0.01527,6e-05,0.0036
0.77258,0.00386,0.01439,0.00017,0.00327
0.77592,0.0035,0.01367,0.00041,0.00337
0.77926,0.00303,0.01315,0.00088,0.00407
0.78261,0.00271,0.01287,0.0017,0.00548
0.78595,0.00281,0.01282,0.00291,0.00768
0.7893,0.00351,0.01295,0.00444,0.01062
0.79264,0.00487,0.01322,0.00602,0.01415
0.79599,0.00678,0.01356,0.0073,0.01796
0.79933,0.00896,0.0139,0.00798,0.02162
0.80268,0.01104,0.01418,0.00799,0.02469
0.80602,0.01263,0.01436,0.00758,0.02678
0.80936,0.01342,0.01441,0.00717,0.0277
0.81271,0.01328,0.01434,0.00711,0.02751
0.81605,0.01229,0.01418,0.00744,0.02653
0.8194,0.01072,0.01397,0.0079,0.0253
0.82274,0.00897,0.01379,0.00805,0.02436
0.82609,0.00749,0.0137,0.0076,0.02418
0.82943,0.00667,0.01374,0.00651,0.02497
0.83278,0.00669,0.01396,0.00508,0.02667
0.83612,0.0075,0.01434,0.00374,0.02895
0.83946,0.00877,0.01485,0.00294,0.03134
0.84281,0.01007,0.01546,0.00301,0.03339
0.84615,0.01092,0.01607,0.00418,0.03481
0.8495,0.01104,0.01662,0.00652,0.03551
0.85284,0.01042,0.01705,0.00989,0.03568
0.85619,0.00941,0.0173,0.01388,0.03566
0.85953,0.00862,0.01736,0.01783,0.0358
0.86288,0.00879,0.01724,0.021,0.03633
0.86622,0.01059,0.01696,0.0229,0.0373
0.86957,0.01444,0.01657,0.02346,0.03853
