compound,reversal_score,DAM_up,IFN_up,Chemokine_up,Homeo_down
MK-1775,4.6846209082935,0.0426368878388163,0.0204134440274121,0.0709473774154047,0.0905548033415685
ALW-II-38-3,4.548415688888074,0.1218142129798249,0.0081335890023837,0.0709473774154047,0.0905548033415685
pracinostat,4.521694820783784,0.0499144639810368,0.0938814327691289,0.0202478719563194,0.0905548033415685
BMS-345541,4.51864658838102,0.1218142129798249,0.0305249827838191,0.02059560327509,0.0905548033415685
INK-128,4.514839134157494,0.0369466637997162,0.0942974209770508,0.029946279020736,0.0905548033415685
vorinostat,4.497320051748472,0.0543726293376519,0.0999602624610004,0.0183298015947087,0.0905548033415685
AZ-628,4.476275321908817,0.0194223296469141,0.0993581474570771,0.0709473774154047,0.0905548033415685
dacomitinib,4.475021985025324,0.1218142129798249,0.0100467212590809,0.0709473774154047,0.0905548033415685
GSK-690693,4.421576465479017,0.0326683908879881,0.0607147243859191,0.0709473774154047,0.0905548033415685
PD-173074,4.391972471481119,0.0248514247481417,0.0930614005896247,0.0709473774154047,0.0905548033415685
PD-184352,4.383571589613102,0.0250707882950337,0.0942974209770508,0.0709473774154047,0.0905548033415685
dabrafenib,4.379387586960213,0.0124393789384984,0.0113849413502076,0.0709473774154047,
HG-14-10-04,4.375298364977463,0.0255412412876284,0.0930614005896247,0.0719309166576898,0.0905548033415685
ponatinib,4.357598285558078,0.0250707882950337,0.0930614005896247,0.0703191947928694,0.0978495755237683
chelerythrine chloride,4.332361961640794,0.0042655738918009,,0.0709473774154047,0.0905548033415685
GSK-2334470,4.322887762788524,0.0297511416465583,0.0906640344864513,0.0709473774154047,0.0905548033415685
trametinib,4.315718750485802,0.0297511416465583,0.0930614005896247,0.0709473774154047,0.0901597853860074
AZ20,4.311561334856018,0.0299062823190676,0.0930614005896247,0.0709473774154047,0.0905548033415685
PLX-4720,4.271853566706753,0.0299062823190676,0.0074018561553872,,0.0905548033415685
PIK-93,4.230093382154887,0.1186311937540381,0.021016429512913,0.0709473774154047,0.0905548033415685
entinostat,4.206982104054047,0.1218142129798249,0.0930614005896247,0.0164524071350269,0.0910585449331282
foretinib,4.184380475803993,0.0392207994906091,0.0961449370849239,0.0709473774154047,0.0901597853860074
mocetinostat,4.168991233056072,0.115505709848125,0.0930614005896247,0.0197513912877777,0.0905548033415685
ZM-447439,4.168377951146975,0.0250707882950337,0.0087022434303177,0.0709473774154047,
NU-7441,4.155496100486292,0.0250707882950337,,0.012898242050291,0.0905548033415685
ouabain,4.153901872761599,0.0878655492871451,0.1218854763412035,0.0221696098348639,0.0905548033415685
(-)-JQ1,4.087577594974581,0.1218142129798249,0.07933851176809,0.0013611986258435,
PF-431396,4.063693384963578,0.058376786468503,0.0930614005896247,0.0709473774154047,0.0820921606209938
KIN001-055,4.060610340871198,0.0058107744784413,0.0737918166370303,0.0709473774154047,
SYK-inhibitor,4.033537148346059,0.1218142129798249,0.0070774335001072,0.0178270840713839,
ruxolitinib,4.009985095064654,0.0301048312075603,0.0109216194291441,0.0709473774154047,
GSK-1904529A,3.9929009045801953,0.0250707882950337,,0.02059560327509,0.0905548033415685
dorsomorphin dihydrochloride,3.9892037482103992,0.0613450513983856,0.1025695229206488,0.0636707488186836,0.0935513551014664
everolimus,3.8341413179870814,0.0299062823190676,0.0766504131935274,0.0169085285917282,
BMS509744,3.8189967779637404,0.1218142129798249,0.1316089752898438,0.0017776492144592,
