gene,log2FC,pvalue,padj
Rapgef2,0.6271306129961349,0.0024174405789000645,0.17725091271451576
Wdr7,-0.7102676834022663,0.0024264317587931994,0.17725091271451576
Zan,0.7074651071838929,0.0024279863556735826,0.17725091271451576
Atp6v1b2,-0.48271842718028424,0.002455567658159533,0.1774853952397125
Rrn3,-0.23989520286549926,0.002458277033222494,0.1774853952397125
Nrep,-0.6729343399367256,0.0024801128812149444,0.1774853952397125
Nsmce2,0.4424082350860843,0.002480595134539404,0.1774853952397125
Marchf1,0.5231470826165054,0.0024824547181419828,0.1774853952397125
Epb41l4a,-1.0630057307468386,0.002491352825511673,0.1774853952397125
Uevld,-0.5968751539622552,0.002493992381042917,0.1774853952397125
Maoa,0.3320107308717617,0.0024945520034137707,0.1774853952397125
Siah1a,1.0272718040568094,0.002502876781974204,0.17751415961267675
Rai1,0.7906624148968024,0.0025426863403040408,0.1795433409459997
Tac1,-1.0012190179539058,0.0025475094779951767,0.1795433409459997
Stat2,0.6646394263247082,0.0025581708928460326,0.17972954874754007
Vmn1r1,1.1378394074456133,0.00257634528123189,0.17999983182229098
Cryba1,7.7826969140797475,0.0025780807609742727,0.17999983182229098
Cibar2,-2.698465152771978,0.002620872338728173,0.18201745848518738
Zfp644,0.6752479590466116,0.0026232214479169876,0.18201745848518738
Runx1t1,-0.9055455762179161,0.0026530105261084627,0.18351627133068785
Matr3,-0.5236330055352063,0.0026771991065019157,0.1837218210217892
Fstl4,-1.6635949568847401,0.002686386446910912,0.1837218210217892
Srgap3,-0.7668668699176759,0.0026892738024456224,0.1837218210217892
Gm7389,-1.5748702346549757,0.0026957280199550898,0.1837218210217892
Akap8,-0.34149018284275634,0.0026969694411997434,0.1837218210217892
Rab4b,-0.3205519598174593,0.0027071790830813045,0.18385847760611576
Pdcd7,0.8635044163049903,0.0027319285880819818,0.18464109385284452
Gm16030,2.5569815153474496,0.002738016390786209,0.18464109385284452
Sh2d1a,1.0256826912893198,0.0027434180016507772,0.18464109385284452
Hmg20a,-0.5961497967323268,0.0027928849466773565,0.18686426404821901
Pdpn,3.4573395104348963,0.0027931254888521047,0.18686426404821901
Zc2hc1c,-1.3048050735528278,0.0028337823312263657,0.18848067435410523
Ogt,-0.5804482646841684,0.002834106159973829,0.18848067435410523
Reep1,-1.089114596863368,0.002847918770207141,0.18883892153219659
mt-Nd4,1.1553828613923915,0.002874003656961985,0.19000640106145134
S100a10,2.4137258053663606,0.0029101243736800457,0.19135872732294598
Scd2,-0.28258619480069846,0.0029141208369749655,0.19135872732294598
Slc66a2,0.4312399558056139,0.002924173478786031,0.19135872732294598
Trim55,-3.5600279686921503,0.002928611613054189,0.19135872732294598
Lrrc2,3.580400612665718,0.002943882834874285,0.1913656502562548
Tmem25,-1.1349393471768998,0.0029457946340535382,0.1913656502562548
Lcn2,5.1629550450378625,0.002962234692127289,0.19187746797675376
Rprd1a,-0.473371108946262,0.002973479638094668,0.19205079437745737
Tfrc,-0.8849575712605731,0.002983419281541574,0.19213906016640733
Slc66a3,0.7993923598080013,0.0030008725435995533,0.1927093279288057
Klhl23,-0.7880972951817284,0.0030133726578596125,0.19270958354656734
Bcl3,4.872749124595485,0.003018073524221182,0.19270958354656734
mt-Nd6,1.2429825338816052,0.0030286025678085,0.19283250212989803
Gm9247,3.2140730908269517,0.003043137102772761,0.19295027483064356
Gm48216,0.9648917179420504,0.0030476707696790923,0.19295027483064356
Crtc3,0.9003888674436871,0.0030614075286522,0.1932739874145158
Lctl,6.1707642265618174,0.0030748373425553855,0.19357655764424522
Zfp36l2,0.5647417613063954,0.003091548528637591,0.19405166892921272
Ckb,-0.47480851462445095,0.0030997009404184436,0.19405166892921272
Plekhg3,-1.0805704573468233,0.003148253414747998,0.19478943103202856
Smpd1,-0.23380971927903715,0.003153761626843657,0.19478943103202856
Grm3,-2.954060728160896,0.003155726375294104,0.19478943103202856
Rspo4,-3.8516372087989277,0.0031709576160690186,0.19478943103202856
Tubg2,-0.6855734372838818,0.003174931453018821,0.19478943103202856
Irf9,0.932222817614095,0.0031760493242805336,0.19478943103202856
