source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,tissue,condition
MHCII+ Mac/APC,Iron+ MG (Fth1+),Icam1,Itgam_Itgb2,0.4940582,1.0,0.0987748,-0.9445855772005604,-0.997780270281794,0.0027377324,0.6639219,1.0,0.9891186917945274,OpticNerve,MB
NK cell,DAM-like MG,Arf1,Insr,0.65900195,0.2,0.43409708,0.06018973275058932,-0.008494586162503093,0.01891731,0.80550045,0.1756732406924541,0.9891186917945274,OpticNerve,MB
BAM,Iron+ MG (Fth1+),Il15ra,Axl,0.44480202,0.05,0.098763235,0.09663244601060333,0.17436301853738767,0.01834071,0.66390884,0.09183345845272378,0.9893514323106554,OpticNerve,MB
Iron+ MG (Fth1+),MHCII+ Mac/APC,Gas6,Mertk,0.39019266,1.0,0.15039721,-0.782079362325274,-0.9647417282341821,0.00776374,0.70910466,1.0,0.9893514323106554,OpticNerve,MB
NK cell,Iron+ MG (Fth1+),Tnfsf12,Tnfrsf12a,0.2032292,0.03,0.038060904,0.3554774309872435,0.21174685673786298,0.039221697,0.5508223,0.061649353730917726,0.989394657504909,OpticNerve,MB
MHCII+ MG,MHCII+ MG,Adam10,Il6ra,0.6694211,1.0,0.43421498,-0.8566727890991215,-0.0502124271670209,0.0067153727,0.8055217,1.0,0.989583953232896,OpticNerve,MB
MHCII+ Mac/APC,Proliferating MG,Sema4a,Plxnb2,0.39006603,0.12,0.14556302,0.5123480642733065,0.07174814679933789,0.022719055,0.70572364,0.1261039442952529,0.989583953232896,OpticNerve,MB
DAM-like MG,NK cell,Tnf,Tnfrsf1a,0.4177776,0.15,0.09875295,0.004729734391614476,0.0618593398046722,0.015538092,0.6638973,0.21749222337922497,0.989583953232896,OpticNerve,MB
NK cell,BAM,Ccl4,Cnr2,0.21436606,0.9,0.03806472,-0.10769564555398634,-0.44129474260384327,0.01065313,0.55083466,1.0,0.989767922677226,OpticNerve,MB
T cell,NK cell,Trf,Ldlr,0.48932794,1.0,0.098740794,-0.6156300105757362,-0.6625321120690302,0.0038164752,0.6638835,1.0,0.9898167667247311,OpticNerve,MB
NK cell,T cell,Trf,Adrb2,0.39005038,1.0,0.11387339,-0.8659016312383758,-0.9972344288715342,0.0041170176,0.679602,1.0,0.9898167667247311,OpticNerve,MB
DAM-like MG,NK cell,Il16,Cd9,0.39001554,1.0,0.10302309,-0.873528418789269,-1.1596896661564482,0.0034725382,0.66860366,1.0,0.9900493605481102,OpticNerve,MB
NK cell,T cell,C1qb,C1qbp,0.42832994,1.0,0.098738015,-1.5639127458972266,-1.5346506339535753,0.001922736,0.66388035,1.0,0.9900493605481102,OpticNerve,MB
MHCII+ Mac/APC,BAM,Ccl12,Ccr1,0.2313355,0.38,0.038070418,0.17125719556863317,-0.15895463148954894,0.013361944,0.5508532,0.6572865405880686,0.9901410903086115,OpticNerve,MB
Proliferating MG,Proliferating MG,Tnfsf13b,Tnfrsf13b,0.3900087,0.59,0.15163083,0.030858060351006425,-0.03660845406705643,0.027313795,0.7099465,0.45151108863073675,0.9902822470270914,OpticNerve,MB
