gene,log2FC,pvalue,mean_OHT,mean_SHAM,padj
Zbtb39,0.43257655745543294,0.7241550977113503,23.183965579333332,16.918803082,0.8919130354050995
Ndufa4l2,0.5000392599201411,0.7243819565077194,330.42358637999996,233.34548806666666,0.8921221527081754
Tfb2m,-0.004574641764170478,0.7243834458038241,424.3509998333334,425.7018859666667,0.8920537021476069
C1qbp,0.34896299899203465,0.7244870522740239,2647.4518902333334,2078.4273806666665,0.8921110063096949
Gns,0.13649028611992078,0.7245234425985656,16607.083306666667,15107.865126666666,0.8920855400754768
Fhip2a,0.6065612640270397,0.7246244214335136,600.9855237,394.3601683333333,0.8921395976234444
Kif5b,0.1438639477581616,0.7246291944833039,8792.319730000001,7957.7616953333345,0.8920752098108627
Tmem41a,-0.36052156922539447,0.7249019312070667,626.8170725666666,805.0480431000001,0.8923406903998787
Smim10l1,-0.15262700002430654,0.7249155626736266,2230.602069,2479.6303936666664,0.8922872005789004
Plk4,0.2782554621821133,0.7249597193597186,267.6194548966667,220.50025109999999,0.8922712892371466
Cap1,-0.07032499393426744,0.7251735978219299,2561.3619059999996,2689.360027666667,0.8924642553778904
Gtf2h1,0.23819224363988908,0.7252127524234758,1543.7680185000002,1308.665115,0.8924421770690718
Rest,-0.020498565374566204,0.7252246319034314,2261.0910045666665,2293.4613993333332,0.8923865402883207
Dolk,0.2691070748247758,0.7252575728227924,1106.1240203333334,917.7280408,0.8923568262589001
Tmem115,0.010660455724454808,0.7252823655138927,953.3381553,946.3122879000001,0.8923170921170922
Tmbim1,0.1711291981927311,0.725424424128367,3524.115208333333,3129.8213983333335,0.8924216254958685
Sash1,0.12061387533376884,0.7254551253828205,543.2295077,499.5802269,0.8923891606877208
Mon1b,-0.06681387591386873,0.7255088407045613,403.4591663666667,422.63093196666665,0.8923850085814446
Mpp3,-0.040023788476427756,0.7255278707696519,204.50439145666667,210.28539013333332,0.8923381971831323
Lsm2,-0.030690268278897752,0.7255738905152496,652.3012680333334,666.3477375666666,0.8923245855738682
Wdr76,0.08919300743451031,0.7258965282751515,158.51419516666667,148.95106905,0.8926511394437018
Lhx1,-0.4692844349462,0.7259586472994123,32.005130193333336,44.693049323333334,0.8926573014425042
Spns2os,-0.45041465962212557,0.725972380499271,20.735518433333336,28.70012837,0.8926039707058999
Arap2,0.7914015817280703,0.725996608598835,633.2723526,365.4714669,0.8925635511254042
Celrr,0.040323594278461064,0.7261020080604439,6.410996796666667,6.206726060666667,0.8926229247339992
Foxi3,-0.24792826294900283,0.7262561215840473,6.056173457,7.379210333333333,0.8927421702170685
H2-D1,0.47606282347512174,0.7262997012920013,153390.07980666668,110277.51645,0.8927255351808816
Zp1,-0.8723843867551435,0.726316728988729,10.19435715,19.493353283333335,0.892676269132161
Galnt15,-0.4918159933217993,0.7263205357850122,11.46559028,16.52928551,0.892610763020326
Entpd4b,-1.5862389683776577,0.726476716193497,6.702930093,22.12924552133333,0.8927325118569616
Ppp1r3e,0.263554540637501,0.7264871644306247,10.510387749000001,8.588532214333332,0.8926751723304059
Ccnh,0.06850249545091716,0.7265045349510041,1597.448342,1523.3240423333334,0.8926263469438096
Zc3h4,-0.2246087213372243,0.7268443612480975,308.7912894666667,360.97882400000003,0.8929736862901054
Zfp282,0.38538590415803226,0.7268642932513472,116.90070743666666,89.26173847333332,0.8929279918116793
Snord2,-0.06604485383023431,0.7269524981672885,8.985777125666667,9.453539167333334,0.8929661688685961
Garin4,-0.1403708015402214,0.7269735641355667,328.96194252000004,362.68021359999995,0.8929218749805943
Arap1,0.1470920359186312,0.7269912349673605,1689.8497256666667,1525.9537976666668,0.8928734182269831
Paupar,-0.07161227797748587,0.7270270002331992,62.180640624666665,65.39593160333332,0.8928471904969467
Nol7,0.39874488892058013,0.7270997449950651,1677.357987,1272.0645576,0.8928663770930838
C1s1,1.586748000204915,0.7273110032462302,259.39511559333334,85.69101543666666,0.8930556395712352
Map1lc3a,0.04713261260663793,0.7273387624655483,3262.7518215666664,3157.848497333333,0.8930195739611174
Smim26,0.0622378888746167,0.727459798442451,122.51783566666666,117.30257610666666,0.8930980293319158
Nup205,-0.12451191696888012,0.7274626066781444,425.8057676333333,464.2775537,0.8930313362904324
Kcnh5,-1.100431964639243,0.7275024531705543,8.2318071,18.794737677666667,0.893010118227496
Snord14d,0.6894559879910441,0.7276181658126977,51.724096599999996,31.693560040000005,0.8930820219723814
Med22,-0.06848728243794672,0.7276317701359154,2788.600159333333,2924.2210200000004,0.8930285960265777
Ocstamp,0.2234494578836984,0.7278259134618181,38.602466490000005,32.920109520000004,0.893196738111147
Rgr,-0.01736296171743663,0.7278505275870535,320.74542346,324.6410530333333,0.8931568218490528
Tfdp2,-0.0793271746616499,0.7279644559389837,385.1767564,407.00547370000004,0.8932265021416324
Syde1,-0.35580297956567586,0.7280902164848528,134.44380352,172.32711586333332,0.8933106886871848
Gapdhs,0.16179333252642758,0.7282579244086025,71.83458560000001,64.10779800333334,0.8934463241841978
Cep170b,1.429869684060194,0.7283333328147135,212.66220826999998,78.30380912333334,0.8934687117584984
Exoc8,-0.1465374292058615,0.7284175428309316,314.7400127,348.4956573333333,0.8935018921753348
Zfp318,0.3769976740175776,0.7284781522217729,554.0552528333333,426.41386753333336,0.8935061203216049
AW146154,0.7689063979221553,0.7284993346032731,564.3294501666666,330.7704642333333,0.8934619928743633
Mgat5,-0.09044330309002756,0.7285723983044023,854.8521529666665,910.2234647333333,0.893481496775154
Smc4,0.5652258222028962,0.7285962014617557,1317.7858275,890.3008988333332,0.8934405919077983
