,log2fc,p,fdr
Ldhb,0.3034740036971525,0.3308759267769308,0.7637747757727058
Ldhd,-2.053856735923145,0.1660268189142913,0.7517629275291794
Ldlr,-0.13370505467790333,0.7967199512213912,0.922070106183037
Ldlrad3,0.5163244155228457,0.42806674844620696,0.7661580907459324
Ldlrad4,-0.0979704187032488,0.949126002368823,0.983471544527374
Ldlrap1,-0.5130009586427702,0.3451671665591428,0.7637747757727058
Ldoc1,3.479303274981431,0.42264973081037427,0.7637747757727058
Leap2,0.03615550497080515,0.7480139994399837,0.9031143645351997
Lect2,0.2844743653940579,0.7611475144418519,0.9077310819636979
Lef1,-1.218178820965645,0.14691048352759323,0.7517629275291794
Lefty1,0.7013819478018953,0.34738344982259645,0.7637747757727058
Lefty2,-0.33101286646170414,0.6045775554440128,0.8415068698964557
Lekr1,-0.38240089576643543,0.44703619421793434,0.774106454901266
Lemd1,1.404010107434556,0.42264973081037416,0.7637747757727058
Lemd2,1.088782751926997,0.12876198938966688,0.7517629275291794
Lemd3,0.056423315824404074,0.8477063890654011,0.9430034982555169
Lenep,-0.4439093462902248,0.3787294034867337,0.7637747757727058
Leng1,1.1626107227546427,0.37305654926281084,0.7637747757727058
Leng8,-0.07575919793809356,0.7464796737421346,0.902560384729953
Leng9,-1.1244710229113124,0.1556552348434527,0.7517629275291794
Leo1,-0.15788968605208473,0.5886328605783596,0.8353796065336032
Leprot,0.4590226125782559,0.10351534233674188,0.7517629275291794
Leprotl1,0.5532485802807774,0.28915596035166047,0.7637747757727058
Letm1,-1.0536144945201018,0.18097863539366543,0.7517629275291794
Letm2,0.06909653815237467,0.7404823972381493,0.8994047501371167
Letmd1,-0.10583610995792,0.6467107735764699,0.8612648306398601
Lexis1,1.3239900695555322,0.29236020758556075,0.7637747757727058
Lexm,-2.155724660246729,0.22491133770285932,0.7517629275291794
Lfng,0.0499668474666957,0.7438171170320658,0.901245299221675
Lgals1,2.076820190424487,0.02542332709841033,0.7517629275291794
Lgals12,-0.07960804860406644,0.8646286278715257,0.9503574065145256
Lgals2,-0.9759122938866763,0.5610716250233728,0.8260140970540658
Lgals3,1.9880042885392817,0.13856022205544302,0.7517629275291794
Lgals3bp,0.49153736923205393,0.43623045381410447,0.7693646874167788
Lgals4,-1.1707780631088864,0.16815787859395634,0.7517629275291794
Lgals7,1.9083107235405057,0.1835046616118197,0.7517629275291794
Lgals8,0.36437939226090804,0.4244145222552893,0.7643417521139565
Lgals9,0.5634128468085565,0.26610004905007134,0.7603028466012612
Lgalsl,-0.49462186538524977,0.4104840204318799,0.7637747757727058
Lgi1,0.11025525405235435,0.936811948726795,0.978638666378953
Lgi2,-5.9558827552717535,0.016470777844690174,0.7517629275291794
Lgi3,-3.232485046293339,0.06881941888812292,0.7517629275291794
Lgi4,-1.1937134752256788,0.24094230368915662,0.7524593546480055
Lgmn,0.5476435504317049,0.4147155812288857,0.7637747757727058
Lgr4,-0.304158434054181,0.5171150909108042,0.8059343641819157
Lgr5,-0.9178857990665283,0.32495158132718516,0.7637747757727058
Lgsn,0.19718473332466369,0.9034915436823296,0.9647151507081784
Lhb,1.852842404253522,0.05077285473236995,0.7517629275291794
Lhfpl2,0.07898272591201569,0.8302424326281617,0.9352083891827337
Lhfpl3,-3.239145856829481,0.11433698502058247,0.7517629275291794
Lhfpl4,-2.2688182602961104,0.11887377002382812,0.7517629275291794
Lhfpl5,-4.676811901663253,0.21360733924790462,0.7517629275291794
Lhfpl6,-5.669667843866546,0.005055752890175716,0.7517629275291794
Lhpp,-0.42179118818392564,0.35758935409470266,0.7637747757727058
