total_counts,n_genes_by_counts,pct_counts_mt,sample,tissue,condition
4778,2326,0.5441607367099205,GSM8880855,OpticNerve,Sham
3887,1895,1.9295086184718293,GSM8880855,OpticNerve,Sham
14285,4744,0.22401120056002802,GSM8880855,OpticNerve,Sham
6157,2754,0.5197336365112879,GSM8880855,OpticNerve,Sham
6714,2957,0.5212987786714328,GSM8880855,OpticNerve,Sham
3829,2067,0.2872812744841995,GSM8880855,OpticNerve,Sham
4526,2355,0.13256738842244808,GSM8880855,OpticNerve,Sham
5786,2762,0.39751123401313515,GSM8880855,OpticNerve,Sham
5993,2794,0.584014683797764,GSM8880855,OpticNerve,Sham
3429,1865,0.4082822980460776,GSM8880855,OpticNerve,Sham
10889,4000,0.5601983653228029,GSM8880855,OpticNerve,Sham
7626,3188,1.2063991607658011,GSM8880855,OpticNerve,Sham
6526,2823,1.5170088875268157,GSM8880855,OpticNerve,Sham
2837,1619,0.14099400775467041,GSM8880855,OpticNerve,Sham
3653,1888,0.9307418560087599,GSM8880855,OpticNerve,Sham
4598,2242,1.0004349717268377,GSM8880855,OpticNerve,Sham
3633,1896,0.9083402146985963,GSM8880855,OpticNerve,Sham
4094,2029,0.806057645334636,GSM8880855,OpticNerve,Sham
1682,1054,1.3674197384066586,GSM8880855,OpticNerve,Sham
5052,2442,1.1282660332541568,GSM8880855,OpticNerve,Sham
5118,2559,0.2735443532629933,GSM8880855,OpticNerve,Sham
3346,1771,1.2552301255230125,GSM8880855,OpticNerve,Sham
6571,2835,1.1870339369958909,GSM8880855,OpticNerve,Sham
9690,3574,1.2280701754385965,GSM8880855,OpticNerve,Sham
5129,2581,1.1503217001364787,GSM8880855,OpticNerve,Sham
7051,2975,1.0636789107927953,GSM8880855,OpticNerve,Sham
4393,2207,0.978829956749374,GSM8880855,OpticNerve,Sham
1641,1076,0.7312614259597806,GSM8880855,OpticNerve,Sham
3989,2095,0.12534469791927802,GSM8880855,OpticNerve,Sham
5054,2412,0.8705975464978234,GSM8880855,OpticNerve,Sham
19417,5164,0.3193078230416645,GSM8880855,OpticNerve,Sham
4664,2296,0.10720411663807891,GSM8880855,OpticNerve,Sham
6434,2734,0.17096673919801056,GSM8880855,OpticNerve,Sham
4954,2393,0.5651998385143319,GSM8880855,OpticNerve,Sham
8915,3482,1.985417835109366,GSM8880855,OpticNerve,Sham
5861,2607,0.5630438491724962,GSM8880855,OpticNerve,Sham
4123,2186,0.2910502061605627,GSM8880855,OpticNerve,Sham
6963,2950,0.7898894154818324,GSM8880855,OpticNerve,Sham
5563,2451,0.3235664209958656,GSM8880855,OpticNerve,Sham
1900,1214,0.5263157894736842,GSM8880855,OpticNerve,Sham
6717,3015,0.9676939109721603,GSM8880855,OpticNerve,Sham
9389,3835,0.7775055916498029,GSM8880855,OpticNerve,Sham
4341,2301,0.4376871688551025,GSM8880855,OpticNerve,Sham
6891,2934,0.43535045711798,GSM8880855,OpticNerve,Sham
10188,3880,0.6380054966627404,GSM8880855,OpticNerve,Sham
1997,1198,1.1016524787180773,GSM8880855,OpticNerve,Sham
5816,2625,0.1891334250343879,GSM8880855,OpticNerve,Sham
2684,1507,0.5216095380029807,GSM8880855,OpticNerve,Sham
3474,1935,0.4317789291882556,GSM8880855,OpticNerve,Sham
3548,1933,0.2254791431792559,GSM8880855,OpticNerve,Sham
10609,3851,1.07455933641248,GSM8880855,OpticNerve,Sham
4538,2236,0.37461436756280303,GSM8880855,OpticNerve,Sham
5515,2565,0.21758839528558477,GSM8880855,OpticNerve,Sham
1736,1173,0.1728110599078341,GSM8880855,OpticNerve,Sham
3918,2131,0.17866258295048493,GSM8880855,OpticNerve,Sham
4327,2234,0.32354980355904783,GSM8880855,OpticNerve,Sham
8306,3223,0.48157958102576454,GSM8880855,OpticNerve,Sham
5789,2610,0.7255139056831923,GSM8880855,OpticNerve,Sham
5188,2596,0.40478026214340784,GSM8880855,OpticNerve,Sham
12303,4081,1.1867024303015525,GSM8880855,OpticNerve,Sham
8059,3230,0.5087479836207967,GSM8880855,OpticNerve,Sham
1548,978,0.1937984496124031,GSM8880855,OpticNerve,Sham
5543,2596,0.4329785314811474,GSM8880855,OpticNerve,Sham
6395,2790,0.10946051602814699,GSM8880855,OpticNerve,Sham
1152,816,2.6909722222222223,GSM8880855,OpticNerve,Sham
5354,2470,0.48561822936122523,GSM8880855,OpticNerve,Sham
5729,2685,0.19200558561703612,GSM8880855,OpticNerve,Sham
4309,2136,0.9979113483406823,GSM8880855,OpticNerve,Sham
2423,1510,0.5777961205117622,GSM8880855,OpticNerve,Sham
5839,2682,0.8049323514300395,GSM8880855,OpticNerve,Sham
5615,2643,0.44523597506678536,GSM8880855,OpticNerve,Sham
2578,1611,0.5430566330488751,GSM8880855,OpticNerve,Sham
619,471,1.615508885298869,GSM8880855,OpticNerve,Sham
4204,2098,1.0704091341579447,GSM8880855,OpticNerve,Sham
3878,1962,0.6962351727694688,GSM8880855,OpticNerve,Sham
4776,2311,0.04187604690117253,GSM8880855,OpticNerve,Sham
591,444,1.1844331641285957,GSM8880855,OpticNerve,Sham
5925,2414,2.109704641350211,GSM8880855,OpticNerve,Sham
3788,2102,0.607180570221753,GSM8880855,OpticNerve,Sham
5629,2529,1.1014389767276602,GSM8880855,OpticNerve,Sham
5162,2717,0.9298721425803952,GSM8880855,OpticNerve,Sham
8862,3466,0.5529225908372828,GSM8880855,OpticNerve,Sham
5168,2531,0.30959752321981426,GSM8880855,OpticNerve,Sham
4107,2159,0.48697345994643293,GSM8880855,OpticNerve,Sham
4624,2174,1.0596885813148789,GSM8880855,OpticNerve,Sham
3567,2048,0.33641715727502103,GSM8880855,OpticNerve,Sham
4170,2101,0.7434052757793765,GSM8880855,OpticNerve,Sham
5184,2431,0.9259259259259258,GSM8880855,OpticNerve,Sham
