gene,spearman_dpt
Dpp6,0.022173650817566542
Bmp6,0.02219606905963787
Gm26636,0.02229499863984276
Mmp28,0.022357892593008306
Nrarp,0.02242741462507008
Gm13610,0.02244646954404166
Mgarp,0.02249176216994338
Lrrc69,0.022561747361685237
Gm15591,0.022583517070874817
Rbms3,0.022599106352287242
Pcdh17,0.022599659698352682
Gm4258,0.02262579777914935
Negr1,0.022671988820599107
Tnfsf8,0.022681157314730197
Hdc,0.0230537305972179
Col25a1,0.023131333927202142
Gm42982,0.023174142854792395
Vtn,0.023199181858181123
Cbfa2t3,0.023210840291179195
Stab2,0.023248823088589034
Fam151a,0.023281352914164968
Ccr4,0.023387395168878358
1700012D14Rik,0.02340224396517737
Usp46os1,0.023510366919040546
Proz,0.023524774406174443
Pld5,0.023647296679657353
Olfr99,0.02366866260127144
Gm17354,0.02379537305654413
Gnaz,0.023857287373869034
Ackr4,0.02387017868273773
Btla,0.023877001356727417
Gm19519,0.02388757470866117
Dmtn,0.023896892171167573
Prickle1,0.023979085098182088
Gm13748,0.024015497236215332
2610203C22Rik,0.0240481926842107
Stpg2,0.02412324663587461
Kcnd3,0.02431225840408244
Ntm,0.02457258442617898
4930488N15Rik,0.024586631111881852
Rxfp1,0.024628074514042763
Efcab7,0.02464164414528217
Pcdhga10,0.02470575854608685
Lrrc36,0.02473431132531191
Gm31374,0.024748641910957717
Mccc2,0.024829118050645263
Lgr4,0.024980159861372316
Rtbdn,0.024989776384598032
Igfbp7,0.025002697601179447
Klhl10,0.02506810345972402
Pln,0.025070841537437997
Tshr,0.0251672333984749
Adcy8,0.025221217984725597
Gm46348,0.025223849574836393
Dcun1d4,0.025246102799757895
Gm14051,0.025319819263868115
E230032D23Rik,0.025440487627795157
Pih1d2,0.02544480063625212
2210409D07Rik,0.02552108487930389
Spdya,0.02555572945982643
Gm14164,0.025595225585404877
Smim18,0.02560819747998259
Gm14211,0.025621048324540457
Pard3b,0.02570684797269733
Exoc3l2,0.025766195110121643
Klhl29,0.025814149439763304
Rtkn,0.025918777926527477
4930445E18Rik,0.02607078533959449
Gm30382,0.026267745859319673
Slc16a2,0.026383742468399973
Cnga1,0.026539711674619406
Sv2b,0.026611734187608642
Sgip1,0.026683914600853013
Ttc23l,0.026731106266759883
1700011L22Rik,0.026894089774902635
Ccdc192,0.026929507333628082
6430562O15Rik,0.02696008843836319
1700047A11Rik,0.02697580556405276
Frmpd4,0.02701337283701126
Erc2,0.027119517980041537
Aqp4,0.027155945359461694
Gm32401,0.027158657202523764
Col4a4,0.02725930660811167
Cnrip1,0.027264168113474024
Zfp780b,0.02745618153815485
D7Ertd443e,0.027555789759948792
Abca4,0.027579317581550522
Lhfpl3,0.0275812594801278
Rs1,0.02763929401942714
Gm45509,0.027691823431114797
Gm44734,0.02774990878567652
Chmp4c,0.027752311960952847
2010001A14Rik,0.027901407303060895
Osbp2,0.02791412910299523
Tac4,0.02797239315285961
Srrm3,0.027997791979297172
Gm49475,0.028023206951861876
Errfi1,0.02807867421056277
Spef2,0.028114807037865053
Gm4107,0.02812841692111011
Cmya5,0.02813166235517888
